DeltaTime	StreamSample	HeadRotationX	HeadRotationY	HeadRotationZ	HeadSpeedX	HeadSpeedY	HeadSpeedZ	
0.0015656	2471613	0.9143842	0.02932798	-0.403513	-0.01478953	-0.2018183	-0.1971196	-0.2325189	 
0.0010098	2471616	0.9143874	0.02933911	-0.4035047	-0.01479446	-0.3080263	-0.3836227	-0.3941162	 
0.0010404	2471617	0.9143887	0.02934334	-0.4035013	-0.01479632	-0.3335159	-0.3927348	-0.382815	 
0.001365	2471618	0.91439	0.02934797	-0.403498	-0.014798	-0.3808878	-0.3982443	-0.38372	 
0.0010262	2471620	0.9143928	0.02935494	-0.403491	-0.01480201	-0.2496781	-0.4020929	-0.3313774	 
0.0010495	2471621	0.914394	0.02935758	-0.403488	-0.01480329	-0.1993129	-0.3650301	-0.253846	 
0.001036	2471622	0.9143954	0.02935964	-0.4034848	-0.01480358	-0.1848582	-0.3812213	-0.1291512	 
0.0010433	2471623	0.9143968	0.0293605	-0.4034815	-0.0148038	-0.06630358	-0.3962188	-0.06774999	 
0.0010444	2471624	0.914398	0.02936079	-0.4034787	-0.01480379	-0.02173084	-0.3341596	-0.01931027	 
0.0010484	2471625	0.9143988	0.02936022	-0.403477	-0.0148035	0.05062208	-0.2099132	0.04977278	 
0.0010747	2471626	0.9143991	0.02935949	-0.4034762	-0.01480297	0.05136371	-0.08753099	0.08395492	 
0.0014929	2471627	0.9143993	0.0293574	-0.4034761	-0.01480339	0.2300125	-0.01746507	0.05075207	 
0.0024612	2471628	0.9143991	0.02935481	-0.4034766	-0.01480394	0.2831728	0.05974895	0.06088985	 
0.0010193	2471632	0.9143964	0.02933551	-0.4034838	-0.01481393	0.7859969	0.1930538	-0.1349437	 
0.00104	2471633	0.9143962	0.02932887	-0.4034847	-0.01481862	0.8740054	0.1280693	-0.1752989	 
0.0012042	2471634	0.9143961	0.02932345	-0.403485	-0.01482273	0.7272981	0.05282406	-0.1715706	 
0.0033491	2471635	0.9143965	0.02931873	-0.4034843	-0.0148268	0.6584306	-0.07028265	-0.2017529	 
